candidate_id,experiment_group,version,prototype_class,base_subject_id,base_meal_time,target_available_carbs_g,target_fiber_added_g,technical_replicates,primary_endpoint,secondary_endpoints,mechanistic_contrast,redesign_rule
CGM_BD_06,CGM_BD_06_redesigned,redesigned,high_msi_high_ppgr_real_meal,35,2024-12-18 07:10:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber
CGM_BD_07,CGM_BD_07_original,original,model_high_risk_other,33,2022-04-22 09:56:00,66.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,original recipe/prototype
CGM_BD_07,CGM_BD_07_redesigned,redesigned,model_high_risk_other,33,2022-04-22 09:56:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber
CGM_BD_08,CGM_BD_08_original,original,model_high_risk_other,46,2025-05-05 19:30:00,44.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,original recipe/prototype
CGM_BD_08,CGM_BD_08_redesigned,redesigned,model_high_risk_other,46,2025-05-05 19:30:00,44.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber
CGM_BD_09,CGM_BD_09_original,original,model_high_risk_other,36,2022-04-04 08:18:00,66.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,original recipe/prototype
CGM_BD_09,CGM_BD_09_redesigned,redesigned,model_high_risk_other,36,2022-04-04 08:18:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Observed high PPGR meal vs model-recommended low-risk redesign,Model-guided redesign: cap available carbs at 45 g and add 5 g fiber
CGM_BD_10,CGM_BD_10_original,original,high_carb_high_protein_mixed,45,2025-04-01 09:05:00,66.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Same carbohydrate load with altered starch physical structure,original recipe/prototype
CGM_BD_10,CGM_BD_10_redesigned,redesigned,high_carb_high_protein_mixed,45,2025-04-01 09:05:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Same carbohydrate load with altered starch physical structure,Keep protein constant; compare intact-grain/low-gelatinization starch vs original starch structure
CGM_BD_11,CGM_BD_11_original,original,high_carb_high_protein_mixed,30,2021-01-25 07:57:00,66.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Same carbohydrate load with altered starch physical structure,original recipe/prototype
CGM_BD_11,CGM_BD_11_redesigned,redesigned,high_carb_high_protein_mixed,30,2021-01-25 07:57:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Same carbohydrate load with altered starch physical structure,Keep protein constant; compare intact-grain/low-gelatinization starch vs original starch structure
CGM_BD_12,CGM_BD_12_original,original,refined_high_carb_low_fiber,8,2023-01-31 20:40:00,168.0,0,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Refined starch rapid-release vs fiber/resistant-starch slowed release,original recipe/prototype
CGM_BD_12,CGM_BD_12_redesigned,redesigned,refined_high_carb_low_fiber,8,2023-01-31 20:40:00,45.0,5,3,glucose_release_iAUC_0_60min,Cmax; Tmax; iAUC_0_120min; early_slope; half_release_time; viscosity; particle_size_D50,Refined starch rapid-release vs fiber/resistant-starch slowed release,Add 5 g soluble fiber and/or replace 25-30% refined starch with resistant-starch/whole-grain equivalent
